遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,46,RE I D P a t r i c i a,1965,60-64,T A T T E RS A LLS CLUB S W IM M ING,37. 13,Women,50m,Freestyle,,,,
50m FreestyleWomen,47,DUCARRE  E l i s a b e t h,1964,60-64,B OULOGNE B ILLA NCOURT NA T A T ION,37. 03,Women,50m,Freestyle,,,,
50m FreestyleWomen,48,CHUP RO V A Na d e z h d a,1961,60-64,NA B,37. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,49,ME N E N D E Z  C y n t h i a,1964,60-64,B A NORT E,37. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,50,KURO Z UMI  E r i,1961,60-64,OS K S C,36. 90,Women,50m,Freestyle,,,,
50m FreestyleWomen,51,ENDO Yok o,1962,60-64,S HONA NS HOE IK A I,36. 61,Women,50m,Freestyle,,,,
50m FreestyleWomen,52,STI LLE Ant j e,1961,60-64,S GNE UK OLLNB E RLIN,36. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,53,CO I  Ma r t a,1965,60-64,A CQUA 1V ILLA GE,36. 31,Women,50m,Freestyle,,,,
50m FreestyleWomen,54,RUCK Ce l e s t e,1965,60-64,COE LA CA NT HM S C,36. 12,Women,50m,Freestyle,,,,
50m FreestyleWomen,55,ANO S HI NA I r i n a,1965,60-64,NA B,36. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,56,ZUO Hua nl i a ng,1965,60-64,S HA NGHA IS W IM S T A RS C,35. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,57,SAUNDERS Be t h,1964,60-64,S A NDIE GOS W IM M A S T E RS,35. 44,Women,50m,Freestyle,,,,
50m FreestyleWomen,58,MI Y A G A WA  Y u k a r i,1962,60-64,COP INB E LL,35. 30,Women,50m,Freestyle,,,,
50m FreestyleWomen,59,NI S HI MURA Ma r i k o,1962,60-64,T M LA K I,35. 07,Women,50m,Freestyle,,,,
50m FreestyleWomen,60,VERRYN Sa bi ne,1961,60-64,COE LA CA NT HM S C,35. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,61,STURM- CONSTANTI N Moni k a,1963,60-64,B A DHOM B URGE RS C1927,34. 93,Women,50m,Freestyle,,,,
50m FreestyleWomen,62,ZUTTE R Cy nt hi a,1965,60-64,T E A M RE DB IRD,34. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,63,LUCAS  P e ne l ope  Ann,1962,60-64,HOB A RT A QUA T ICM A S T E RS,33. 79,Women,50m,Freestyle,,,,
50m FreestyleWomen,64,SAI TO Chi hi r o,1964,60-64,GOLDRUS H,33. 64,Women,50m,Freestyle,,,,
50m FreestyleWomen,65,DI E ME RT  V i r g i n i a,1964,60-64,OW E NS OUNDA QUA T ICCLUB,33. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,66,LE E - P ARKE R Ta ny a,1965,60-64,W A IK A T OM A S T E RS S W IM M ING,32. 94,Women,50m,Freestyle,,,,
50m FreestyleWomen,67,MO R A L E S  Me r c e d e s,1963,60-64,US V T UDRE S DE N,32. 90,Women,50m,Freestyle,,,,
50m FreestyleWomen,68,PRADA Fl a v i a,1965,60-64,RODRIGONUOT OT RIV INOA E,32. 32,Women,50m,Freestyle,,,,
50m FreestyleWomen,69,ESPI NOSA GOMEZ Ma r i c a r me,1962,60-64,NA RV A LE S,32. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,70,KHO URI  Ca r o l a,1962,60-64,FRE M ONT HILLS M A S T E RS,31. 13,Women,50m,Freestyle,,,,
50m FreestyleWomen,71,OS BORNE  Ka t i e,1963,60-64,T E A M RE DB IRD,31. 05,Women,50m,Freestyle,,,,
50m FreestyleWomen,72,CAS T E L L I  Ca r o l a,1963,60-64,A CQUA 1V ILLA GE,30. 53,Women,50m,Freestyle,,,,
50m FreestyleWomen,73,GODGE S  Ar l e t t e,1964,60-64,T E A M RE DB IRD,30. 33,Women,50m,Freestyle,,,,
50m FreestyleWomen,74,DE P O NT I  Da n i e l a,1965,60-64,A CQUA 1V ILLA GE,29. 64,Women,50m,Freestyle,,,,
50m FreestyleWomen,75,PHI LI PSSON Ane t t e,1965,60-64,LINK OP INGS A LLM A NNA S S,29. 15,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,VI LLALOBOS CUEVAS Ma r i a,1968,55-59,S W IM M E RS,45. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,ANDO U Ma mi k o,1969,55-59,M INA M IS W IM M INGCLUB,45. 49,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,HS U Av a,1967,55-59,LA DIE S ' RE CRE A T IONCLUB,45. 48,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,POLLARD Ros e,1970,55-59,LA DIE S ' RE CRE A T IONCLUB,45. 48,Women,50m,Freestyle,,,,
50m FreestyleWomen,5,MA G N U S S O N  Mi c h e l l e  J a y,1968,55-59,NORT HS HORE M A S T E RS S C,45. 35,Women,50m,Freestyle,,,,
50m FreestyleWomen,6,IKEGAMI Minori,1967,55-59,S A P P OROM S T,45. 30,Women,50m,Freestyle,,,,
50m FreestyleWomen,7,LORA- RUNCO Ce c i l e,1966,55-59,S E YNODNA T A T ION,45. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,8,QI N Da n d a n,1970,55-59,S HA NGHA IS W IM S T A RS C,45. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,9,WO N G  E l i z a b e t h  K  P,1970,55-59,NE W W A V E S W IM M ING,44. 33,Women,50m,Freestyle,,,,
50m FreestyleWomen,10,VOLKOVA Sv e t l a na,1966,55-59,NA B,43. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,11,TANNAS  Ka r e n,1966,55-59,B RE A K W A T E RM A S T E RS S W IM CLUB,42. 62,Women,50m,Freestyle,,,,
50m FreestyleWomen,12,MI N O MO  Y u k i k o,1970,55-59,T OK YOS C,42. 10,Women,50m,Freestyle,,,,
50m FreestyleWomen,13,TOMONO Y os hi k o,1967,55-59,RA RINA NT E S W A S E DA,42. 02,Women,50m,Freestyle,,,,
50m FreestyleWomen,14,BE L L Y NCK Ca t h e r i n e,1969,55-59,E CNCHA RT RE S -DE -B RE T A GNE,41. 79,Women,50m,Freestyle,,,,
50m FreestyleWomen,15,MO N C H  H e i k e,1968,55-59,W S V DIE B URG,40. 88,Women,50m,Freestyle,,,,
50m FreestyleWomen,16,CE RV ANT E S - MUI  We n d y,1967,55-59,LA DE RA OA K S M A S T E RS,40. 73,Women,50m,Freestyle,,,,
50m FreestyleWomen,17,LU Hongy i ng,1966,55-59,S HA NGHA IS W IM S T A RS C,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,18,TAKI GAWA Na omi,1968,55-59,YM CA ROE IK A I,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,19,TAKAHAS HI  Ak a ne,1969,55-59,A LLE GRE T T O,39. 88,Women,50m,Freestyle,,,,
50m FreestyleWomen,20,LE NZI  Ca r l a,1967,55-59,S P ORT A LGE S E DA FUNDO,39. 59,Women,50m,Freestyle,,,,
50m FreestyleWomen,21,UNO  Re i k o,1968,55-59,A S IT A CA,39. 39,Women,50m,Freestyle,,,,
50m FreestyleWomen,22,BRAI N Ama n d a,1969,55-59,DA RW INS T INGE RS M A S T E RS S C,39. 31,Women,50m,Freestyle,,,,
50m FreestyleWomen,23,GARCI A WAGNE R My r i a m L u c,1967,55-59,A QUA ROLOS,38. 99,Women,50m,Freestyle,,,,
50m FreestyleWomen,24,HO G UE  Mi c h e l l e  Ch r i s t i n e,1967,55-59,CLA RE M ONT M A S T E RS,38. 84,Women,50m,Freestyle,,,,
50m FreestyleWomen,25,CRUI CKS HANKS  L i n d s e y,1966,55-59,K A LLA NGA LIV E S P ORT M A NA GE M E NT,38. 82,Women,50m,Freestyle,,,,
50m FreestyleWomen,26,SCHONI NG NAUJ OKS Mi r j a m,1970,55-59,LA DIE S ' RE CRE A T IONCLUB,38. 43,Women,50m,Freestyle,,,,
50m FreestyleWomen,27,CAMP O  E S P I T I A O l g a  Cr i s t,1969,55-59,A QUA ROLOS,38. 40,Women,50m,Freestyle,,,,
50m FreestyleWomen,28,SUGI YAMA Yuk o,1968,55-59,T OK YOS C,38. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,29,SI MPSON Ki m,1968,55-59,S T A DIUM M A S T E RS S C,38. 29,Women,50m,Freestyle,,,,
50m FreestyleWomen,30,SASAKI  Ak i k o,1970,55-59,K ONA M IS HINS A P P ORO,38. 01,Women,50m,Freestyle,,,,
50m FreestyleWomen,31,MA T S U Y A MA  N a o m i,1969,55-59,T E A M OP LE NUM O,37. 98,Women,50m,Freestyle,,,,
50m FreestyleWomen,32,GARCI A T E S T AL  Cr i s t i n a,1967,55-59,C.N.M E DIT E RRA NE OV A LE NCIA,37. 43,Women,50m,Freestyle,,,,
50m FreestyleWomen,33,EDGE J e a n,1966,55-59,S E A S IDE P IRA T E S,37. 37,Women,50m,Freestyle,,,,
50m FreestyleWomen,34,LANCE  Cl a i r l y,1966,55-59,CLA RE M ONT M A S T E RS,37. 37,Women,50m,Freestyle,,,,
50m FreestyleWomen,35,AKABANE  Ma k i k o,1969,55-59,T OK YOS C,37. 35,Women,50m,Freestyle,,,,
50m FreestyleWomen,36,SEKI GUCHI  Ki k uk o,1968,55-59,M IM IS C,37. 26,Women,50m,Freestyle,,,,
50m FreestyleWomen,37,OHI RA Mu t s u mi,1970,55-59,A QA T OR,37. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,38,TODA Ma r i e,1967,55-59,A LLE GRE T T O,36. 91,Women,50m,Freestyle,,,,
50m FreestyleWomen,39,MU R R A Y  C l a i r e,1969,55-59,DUNDE E CIT YA QUA T ICS S C,36. 90,Women,50m,Freestyle,,,,
50m FreestyleWomen,40,WA T A N A B E  Y a e k o,1970,55-59,IT OM A NE S A K A,36. 66,Women,50m,Freestyle,,,,
50m FreestyleWomen,41,DAG E NAI S  S o p h i e,1969,55-59,S W IM ONT A RIOM A S T E RS,36. 54,Women,50m,Freestyle,,,,
50m FreestyleWomen,42,LE E  Ky ung P un,1969,55-59,A LLP ODIUM,36. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,43,PATRASCOI U Ane t a,1967,55-59,T RIB E A CHB RA S OV,36. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,44,AKI Y AMA Y o k o,1968,55-59,M A V E RICK,36. 25,Women,50m,Freestyle,,,,
50m FreestyleWomen,45,TAN P oh Choo,1967,55-59,M E RLIONM A S T E RS A QUA T ICS,36. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,46,FE HE R E di t,1968,55-59,DR.RE GE LE K A ROLYS US E,35. 97,Women,50m,Freestyle,,,,
50m FreestyleWomen,47,KE MP  Ni k k i,1967,55-59,UNIT E DW ORLDCOLLE GE OFS E A S IA,35. 91,Women,50m,Freestyle,,,,
50m FreestyleWomen,48,KAKI NUMA At s u k o,1970,55-59,NE W -K UM A E IK A I2O2O,35. 87,Women,50m,Freestyle,,,,
50m FreestyleWomen,49,SATO Ha r umi,1967,55-59,CW CT RE S S A,35. 74,Women,50m,Freestyle,,,,
50m FreestyleWomen,50,KRI E G S KO T T E  An j a,1968,55-59,B A DHOM B URGE RS C1927,35. 33,Women,50m,Freestyle,,,,
50m FreestyleWomen,51,SI LVA Cl a udi a,1970,55-59,P A LM E LA DE S P ORT OE E M,35. 15,Women,50m,Freestyle,,,,
50m FreestyleWomen,52,SNELL Ca r ol,1966,55-59,C.N.M E DIT E RRA NE OV A LE NCIA,35. 03,Women,50m,Freestyle,,,,
50m FreestyleWomen,53,FI S CHE R Da gma r,1968,55-59,S V B URGW E DE L,35. 01,Women,50m,Freestyle,,,,
50m FreestyleWomen,54,TANAKA Hi s a k o,1967,55-59,K E M ONOFRIE NDS,34. 90,Women,50m,Freestyle,,,,
50m FreestyleWomen,55,CHO NG  Y i n  S z u  Ad e l i n e,1970,55-59,M E RLIONM A S T E RS A QUA T ICS,34. 72,Women,50m,Freestyle,,,,
50m FreestyleWomen,56,CAP RI  S a n d r i n e,1969,55-59,LA GNY-S UR-M A RNE NA T A T ION,34. 56,Women,50m,Freestyle,,,,
50m FreestyleWomen,57,OS BORNE  J u l i a n n e,1969,55-59,DA RW INS T INGE RS M A S T E RS S C,34. 41,Women,50m,Freestyle,,,,
50m FreestyleWomen,58,FUJ I MURA S umi e,1969,55-59,CHULA LONGK ORNS W IM M IM GCLUB,34. 38,Women,50m,Freestyle,,,,
50m FreestyleWomen,59,THE N Cl a r i s s a,1970,55-59,K A LLA NGA LIV E S P ORT M A NA GE M E NT,34. 33,Women,50m,Freestyle,,,,
50m FreestyleWomen,60,SHAW El i z a be t h,1966,55-59,OT T E RS C,34. 31,Women,50m,Freestyle,,,,
50m FreestyleWomen,61,KARI Y A Y u k o,1969,55-59,OS A K IRA K UE IK A I,34. 28,Women,50m,Freestyle,,,,
50m FreestyleWomen,62,BUL T E NA- RUS E K An i a,1966,55-59,T RIV IA,34. 14,Women,50m,Freestyle,,,,
50m FreestyleWomen,63,CHURCHI L L  Ha n n e,1968,55-59,A .S .M ONA CONA T A T ION,34. 14,Women,50m,Freestyle,,,,
50m FreestyleWomen,64,TAKAHAS HI I  Tomok o,1970,55-59,NA S HIK A RIGA OK A,34. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,65,GOL DS CHMI DT  Cl a u d i a,1967,55-59,S A RA S OT A S HA RK S M A S T E RS,33. 51,Women,50m,Freestyle,,,,
50m FreestyleWomen,66,KO NO P KA Be a t a,1969,55-59,CONE J OV A LLE YM A S T E RS,33. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,67,SHI BATA Chi k a k o,1967,55-59,T OK YOS C,33. 15,Women,50m,Freestyle,,,,
50m FreestyleWomen,68,RI P P E RG E R L i s a  Ka r e n,1969,55-59,A LW A S LCLUB,33. 11,Women,50m,Freestyle,,,,
50m FreestyleWomen,69,WE B E R  P e t r a,1969,55-59,S S GS A A RM A XRIT T E R,33. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,70,MO N I G  L a n e t t,1970,55-59,W A S S E RS P ORT V E RE INS CHE RM B E CK,32. 98,Women,50m,Freestyle,,,,
50m FreestyleWomen,71,CUMI NG  S a l,1968,55-59,P OW E RP OINT S,32. 85,Women,50m,Freestyle,,,,
50m FreestyleWomen,72,SCOLARO Chr i s t i na,1968,55-59,T S A M A S T E RS,32. 62,Women,50m,Freestyle,,,,
50m FreestyleWomen,73,CUNHA Mo n i c a,1970,55-59,RODRIGONUOT OT RIV INOA E,32. 29,Women,50m,Freestyle,,,,
50m FreestyleWomen,74,HE NNE BACH Ri a,1967,55-59,P OS T S CHW IM M V E RE INLE IP ZIG,32. 10,Women,50m,Freestyle,,,,
50m FreestyleWomen,75,SRAMKOVA Ev a,1967,55-59,NE P T UNM A S T E RS P K,31. 93,Women,50m,Freestyle,,,,
50m FreestyleWomen,76,AT T WE L L  Ca r r i e  S u s a n,1970,55-59,T HE OLYM P ICCLUB,31. 86,Women,50m,Freestyle,,,,
50m FreestyleWomen,77,EUGENI A GAONA CASABONA E,1970,55-59,C.N.M E DIT E RRA NE OV A LE NCIA,31. 74,Women,50m,Freestyle,,,,
50m FreestyleWomen,78,ANDRE WS  Ka t h y,1970,55-59,RYDE A US S IM A S T E RS S W .,31. 71,Women,50m,Freestyle,,,,
50m FreestyleWomen,79,KUL I S  Ma r i o l a,1966,55-59,K LUB S P ORT OW YK ORONA 1919,31. 70,Women,50m,Freestyle,,,,
50m FreestyleWomen,80,MA R T I N  Mu r i e l l e,1968,55-59,T OULONV A RNA T A T ION,31. 58,Women,50m,Freestyle,,,,
50m FreestyleWomen,81,CO L L I NS  Ki m,1966,55-59,CHIRK DRA GONS S W IM M INGCLUB,31. 42,Women,50m,Freestyle,,,,
50m FreestyleWomen,82,SANDULF Ti na  Al i c e,1970,55-59,T A B YS IM,31. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,83,CRAI G  Ki r s t a,1967,55-59,P OW E RP OINT S,31. 30,Women,50m,Freestyle,,,,
50m FreestyleWomen,84,CUNNAH De l y t h,1968,55-59,DUNDE E CIT YA QUA T ICS S C,31. 30,Women,50m,Freestyle,,,,
50m FreestyleWomen,85,THAM Chr i s t i na,1969,55-59,K A LLA NGA LIV E S P ORT M A NA GE M E NT,31. 26,Women,50m,Freestyle,,,,
50m FreestyleWomen,86,PERTH De i r dr e,1970,55-59,A E RLINGUS M A S T E RS,30. 60,Women,50m,Freestyle,,,,
50m FreestyleWomen,87,BE L L - WE S T  He i d i,1970,55-59,E XE M A S T E RS S W IM M INGCLUB,30. 49,Women,50m,Freestyle,,,,
50m FreestyleWomen,88,O DONNE L L  L i s a  An n,1968,55-59,M A NLYM A S T E RS S W IM M INGCLUB,30. 45,Women,50m,Freestyle,,,,
50m FreestyleWomen,89,OS BORNE  Ga b r i e l l e  Ch r i s t,1969,55-59,HOB A RT A QUA T ICM A S T E RS,29. 77,Women,50m,Freestyle,,,,
50m FreestyleWomen,90,GRANT  J a n e,1970,55-59,DUNDE E CIT YA QUA T ICS S C,29. 68,Women,50m,Freestyle,,,,
50m FreestyleWomen,91,PLOCEK Ka r i na,1969,55-59,ROCK YM OUNT A INRE GIONA LM A S T E RS,29. 68,Women,50m,Freestyle,,,,
50m FreestyleWomen,92,VI LANOVA BELMONTE Ma r i a,1970,55-59,C.N.A QUA M A S T E RS,28. 93,Women,50m,Freestyle,,,,
50m FreestyleWomen,93,SADLER He l e n,1970,55-59,T RA FFORDM E T ROB ORS C,28. 58,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,KI T ANA Y o k o,1973,50-54,M INA M IS W IM M INGCLUB,42. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,TAN We ndy,1974,50-54,OB GM A S T E RS S W IM M ING,42. 10,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,MO N T E S D E O C A  Z A MO R A  R o s a,1971,50-54,C.D.NONA DA M OS,42. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,TAN Li n Li n,1972,50-54,OB GM A S T E RS S W IM M ING,42. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,5,SI J BERS J udi t h Ma r i a  He n,1973,50-54,P S V,41. 96,Women,50m,Freestyle,,,,
50m FreestyleWomen,6,ZOCCA J oe l l e  Al i c e  Ba r be,1972,50-54,S W IM M INGCLUB E RA,41. 90,Women,50m,Freestyle,,,,
50m FreestyleWomen,7,WA D A  Y u m i k o,1974,50-54,M IM IS C,41. 75,Women,50m,Freestyle,,,,
50m FreestyleWomen,8,ODAGI RI  Na o k o,1975,50-54,IQCOM P A NY,41. 74,Women,50m,Freestyle,,,,
50m FreestyleWomen,9,CHAN S u k  Y i n  G r a c e,1972,50-54,S W ORDFIS HCLUB,41. 60,Women,50m,Freestyle,,,,
50m FreestyleWomen,10,HO UBE N Ca r me n,1971,50-54,S GW E T T E RA U,41. 55,Women,50m,Freestyle,,,,
50m FreestyleWomen,11,SKURCZYNSKA I z a be l a,1971,50-54,K S W A T E RP OLOP OZNA N,41. 47,Women,50m,Freestyle,,,,
50m FreestyleWomen,12,VATTATHI L Gi t a nj a l i  Ba bu,1971,50-54,GUJ A RA T S T A T E A QUA T ICA S S .,41. 44,Women,50m,Freestyle,,,,
50m FreestyleWomen,13,KE DG L E Y  Na t a s h a,1974,50-54,S T A DIUM M A S T E RS S C,40. 09,Women,50m,Freestyle,,,,
50m FreestyleWomen,14,HAMAY A Na o k o,1973,50-54,RA RINA NT E S W A S E DA,40. 01,Women,50m,Freestyle,,,,
50m FreestyleWomen,15,MI C H A E L  H e l e n a,1975,50-54,NE W W A V E S W IM M ING,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,16,PETCU Bi a nc a - Ma r i a nna,1974,50-54,CS DE INOT RE S IT A 07,39. 82,Women,50m,Freestyle,,,,
50m FreestyleWomen,17,SEI  Ka or u,1973,50-54,K ONA M IT A K A T S UK I,39. 74,Women,50m,Freestyle,,,,
50m FreestyleWomen,18,POWELL Tr a c y,1971,50-54,DOLP HINS,39. 73,Women,50m,Freestyle,,,,
50m FreestyleWomen,19,PARI OVA I r e na,1971,50-54,NE P T UNM A S T E RS P K,39. 40,Women,50m,Freestyle,,,,
50m FreestyleWomen,20,YOSHI OKA Me gumi,1975,50-54,M E RLIONM A S T E RS A QUA T ICS,39. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,21,YANG Yongl e i,1974,50-54,NE W W A T E RP OLOCLUB,39. 34,Women,50m,Freestyle,,,,
50m FreestyleWomen,22,UE S UG I  Ky o u k o,1973,50-54,LE OS S,39. 20,Women,50m,Freestyle,,,,
50m FreestyleWomen,23,NE WBE RRY  Ka t h r y n,1975,50-54,GOLDE NHORS E S HOE A CM A S T E RS,38. 76,Women,50m,Freestyle,,,,
50m FreestyleWomen,24,TAKANO Y uk o,1971,50-54,K ONA M IS HINS A P P ORO,38. 23,Women,50m,Freestyle,,,,
50m FreestyleWomen,25,TS UNE MATS U Kumi k o,1972,50-54,OT ORIW INGS S C,38. 09,Women,50m,Freestyle,,,,
50m FreestyleWomen,26,KO NDO  T o mo k o,1971,50-54,M E GA LOS K OGA NE I,38. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,27,STOLZ Sy l v i a  I ne s,1975,50-54,S S V HOYE RS W E RDA,37. 96,Women,50m,Freestyle,,,,
50m FreestyleWomen,28,PI LLARD Ce c i l e,1975,50-54,T OULONV A RNA T A T ION,37. 95,Women,50m,Freestyle,,,,
50m FreestyleWomen,29,PASCAL- SOUBI ELLE FERNAND,1972,50-54,CNCE V E NNE S A LE S,37. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,30,NI KO L O V A V e r a  Bo j i d a r o v a,1975,50-54,S CDA M INIM A S T E RS,37. 05,Women,50m,Freestyle,,,,
50m FreestyleWomen,31,AS E NCI O  P E RE Z  Ma r i a  J o s e,1974,50-54,C.N.LOS CRIS T IA NOS,37. 03,Women,50m,Freestyle,,,,
50m FreestyleWomen,32,LAM S hi a o Ni ng,1973,50-54,OB GM A S T E RS S W IM M ING,37. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,33,YU Yu Che n,1975,50-54,T M S W IM M INGCLUB,37. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,34,AI NA An n a b e l l a  Ro b e r t a,1975,50-54,A CQUA 13,36. 87,Women,50m,Freestyle,,,,
50m FreestyleWomen,35,TAN Kr y s a ni a,1972,50-54,OB GM A S T E RS S W IM M ING,36. 74,Women,50m,Freestyle,,,,
50m FreestyleWomen,36,LUDMANN Ce c i l e,1975,50-54,A S M ONA CONA T A T ION,36. 62,Women,50m,Freestyle,,,,
50m FreestyleWomen,37,PORTA MARTI NEZ Sa ndr a,1975,50-54,C.N.A QUA M A S T E RS,36. 32,Women,50m,Freestyle,,,,
50m FreestyleWomen,38,MA R X - E L T I N G  D a n i e l a,1972,50-54,S V W A S S E RFR.DULM E N1966,36. 31,Women,50m,Freestyle,,,,
50m FreestyleWomen,39,DE NG  S h a o h o n g,1975,50-54,S W ORDFIS HCLUB,36. 10,Women,50m,Freestyle,,,,
50m FreestyleWomen,40,GAS P I C Ar i s t e a,1974,50-54,P LIV A CK IK LUB DUP IN,36. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,41,ISHIODORI Tomoko,1971,50-54,T OK YOS C,36. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,42,CHI ANG  J e n n y,1975,50-54,OB GM A S T E RS S W IM M ING,35. 82,Women,50m,Freestyle,,,,
50m FreestyleWomen,43,HUG HE S  Na t a s h a,1974,50-54,T RA RA LGONM A S T E RS,35. 71,Women,50m,Freestyle,,,,
50m FreestyleWomen,44,LE ONARD La e t i t i a,1975,50-54,CLUB DE S NA GE URS DE P A RIS,35. 67,Women,50m,Freestyle,,,,
50m FreestyleWomen,45,ARAI  Y a s u e,1972,50-54,RA RINA NT E S S A NGE NJ A YA,35. 63,Women,50m,Freestyle,,,,
50m FreestyleWomen,46,YODOGAWA Tomok o,1975,50-54,LE S NA GE URS,35. 54,Women,50m,Freestyle,,,,
50m FreestyleWomen,47,AUCO I N Na t a l i e,1972,50-54,CA RLE T ONUNIV E RS IT YM A S T E RS,35. 37,Women,50m,Freestyle,,,,
50m FreestyleWomen,48,KANG  By u n g i n,1974,50-54,S W IM ON,35. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,49,WA T A N A B E  F i o n a  J o e l,1975,50-54,J OE LS C,34. 92,Women,50m,Freestyle,,,,
50m FreestyleWomen,50,MO T O J I MA  S a y a k a,1972,50-54,J A M C25,34. 86,Women,50m,Freestyle,,,,
50m FreestyleWomen,51,CAMP BE L L  Ma r i n a,1972,50-54,CLA RE M ONT M A S T E RS,34. 78,Women,50m,Freestyle,,,,
50m FreestyleWomen,52,TE RAMOTO Y uk i,1975,50-54,XP LUS,34. 69,Women,50m,Freestyle,,,,
50m FreestyleWomen,53,KO CH T a n j a,1974,50-54,S W IM M INGCLUB E RA,34. 40,Women,50m,Freestyle,,,,
50m FreestyleWomen,54,RAMI RE Z  P E RDO MO  Be g o n a,1973,50-54,C.D.NONA DA M OS,34. 34,Women,50m,Freestyle,,,,
50m FreestyleWomen,55,SCHI MKE Ka t j a,1971,50-54,S S V HOYE RS W E RDA,34. 01,Women,50m,Freestyle,,,,
50m FreestyleWomen,56,NAKANO  T o mo k o,1975,50-54,CA M P IONE,33. 96,Women,50m,Freestyle,,,,
50m FreestyleWomen,57,RO CHE  He i d i  L o u i s e,1972,50-54,S E A S IDE P IRA T E S,33. 71,Women,50m,Freestyle,,,,
50m FreestyleWomen,58,KADO BE  Mi mi k o,1972,50-54,FCT OK YODOM E,33. 33,Women,50m,Freestyle,,,,
50m FreestyleWomen,59,MI T R O F A N O V A  I u l i i a,1974,50-54,NA B,33. 30,Women,50m,Freestyle,,,,
50m FreestyleWomen,60,IMAMURA Yuka,1971,50-54,2B FIS H,33. 26,Women,50m,Freestyle,,,,
50m FreestyleWomen,61,AI O NO  Ni c k y,1971,50-54,W A IK A T OM A S T E RS S W IM M ING,33. 22,Women,50m,Freestyle,,,,
50m FreestyleWomen,62,AF F O L T E R O l e n a,1971,50-54,S W IS S A LUM NIS W IM M ING,33. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,63,CI S Z E K Ag n i e s z k a,1975,50-54,W OJ S K OW YK LUB S P ORT OW YS LA S K,33. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,64,WE G N E R  K a r i n,1972,50-54,T E A M RE DB IRD,32. 66,Women,50m,Freestyle,,,,
50m FreestyleWomen,65,HARV E Y  E l i z a b e t h,1973,50-54,LA NE COV E M A S T E RS,32. 63,Women,50m,Freestyle,,,,
50m FreestyleWomen,66,JANSSEN Pascal l e Cor nel i,1973,50-54,P A T RICK -DE ROE RS OP P E RS (S G),32. 63,Women,50m,Freestyle,,,,
50m FreestyleWomen,67,IWAWAKI Naoko,1973,50-54,M E GA LOS K OGA NE I,32. 28,Women,50m,Freestyle,,,,
50m FreestyleWomen,68,YAMAGUCHI  Ha r uy o,1974,50-54,S A ZA NA M I,32. 11,Women,50m,Freestyle,,,,
50m FreestyleWomen,69,YEO Fr e da,1974,50-54,OB GM A S T E RS S W IM M ING,32. 07,Women,50m,Freestyle,,,,
50m FreestyleWomen,70,O' BE I RNE  Ch a r l o t t e,1975,50-54,CLA RE M ONT M A S T E RS,31. 72,Women,50m,Freestyle,,,,
50m FreestyleWomen,71,LAS UP  Li na,1971,50-54,M ILLE NNIUM A QUA T ICJ A K A RT A,31. 52,Women,50m,Freestyle,,,,
