遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,32,SOEWADJ I  Na ni k,1956,65-69,M ILLE NNIUM A QUA T ICJ A K A RT A,40. 37,Women,50m,Freestyle,,,,
50m FreestyleWomen,33,KNI J NE NBURG  T r u i,1958,65-69,DE S,40. 34,Women,50m,Freestyle,,,,
50m FreestyleWomen,34,MI Y A U C H I  S a y o k o,1960,65-69,E HIM E K E NM A S T E RS,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,35,BARRAS  F i o n a,1958,65-69,NE W CA S T LE S W IM T E A M,39. 87,Women,50m,Freestyle,,,,
50m FreestyleWomen,36,NE AV E S  L e s l e y,1960,65-69,FOOT HILLS M A S T E RS S W IM CLUB,39. 51,Women,50m,Freestyle,,,,
50m FreestyleWomen,37,MO U S T A F A  N e s s r i n,1958,65-69,S P ORT INGCLUB,38. 55,Women,50m,Freestyle,,,,
50m FreestyleWomen,38,HI RANO  Ak e mi,1958,65-69,LINE FUK US HIM A,37. 73,Women,50m,Freestyle,,,,
50m FreestyleWomen,39,HO F F MANN Ka r i n,1958,65-69,S V GOP P INGE N04,37. 58,Women,50m,Freestyle,,,,
50m FreestyleWomen,40,RE I L L Y  P a t r i c i a,1960,65-69,A E RLINGUS M A S T E RS,37. 58,Women,50m,Freestyle,,,,
50m FreestyleWomen,41,FUJ I HARA Tos hi mi,1960,65-69,M A K OT OS C,37. 08,Women,50m,Freestyle,,,,
50m FreestyleWomen,42,KUT Z  P a t r i c i a,1959,65-69,S GLUB E CK,36. 65,Women,50m,Freestyle,,,,
50m FreestyleWomen,43,MO O R E  Mi c h e l l e,1960,65-69,"OB IDOS CRIA T IV A ,E E M",36. 63,Women,50m,Freestyle,,,,
50m FreestyleWomen,44,OKUY AMA Ka y o k o,1959,65-69,OS K S C,36. 50,Women,50m,Freestyle,,,,
50m FreestyleWomen,45,AL BUQ UE RQ UE  Ma r i a  Cr i s t i,1958,65-69,RODRIGONUOT OT RIV INOA E,36. 23,Women,50m,Freestyle,,,,
50m FreestyleWomen,46,TANAKA J unk o,1959,65-69,OS K S C,35. 39,Women,50m,Freestyle,,,,
